uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
3.1224,7.5711,8.1897,-0.26234,11.328,0.56307,10.294,0.26147,4.8433,0.511,0.49465,0.054416,144,149,150,146,141,140.5
2.8199,8.0076,8.4896,0.2243,11.907,0.65184,10.93,0.33948,4.8411,0.5702,-0.059679,0.31017,144,149,150,146,141,140.25
2.8733,7.5415,8.0703,0.358,12.421,0.67192,11.504,0.39576,4.7986,0.55642,0.5624,0.17632,144,149,150,146,141,140
6.6105,6.9813,9.6144,0.57694,12.84,0.679,12.002,0.43153,4.6729,0.53718,2.2546,0.18676,144.25,148.75,149.75,146,141.25,140.25
10.45,7.0034,12.579,0.73152,13.125,0.68104,12.362,0.44724,4.5203,0.52629,2.7955,0.15912,144.5,148.5,149.5,146,141.5,140.5
13.618,6.7637,15.205,0.89518,13.267,0.67768,12.56,0.47466,4.3799,0.49564,2.2533,-0.054655,144.75,148.25,149.25,146,141.75,140.75
16.028,5.9186,17.086,0.62221,13.312,0.6812,12.632,0.49794,4.3013,0.47634,1.1062,0.04528,145,148,149,146,142,141
16.524,5.5065,17.418,0.98574,13.279,0.68014,12.572,0.50793,4.379,0.46349,0.43738,0.26339,145,148,148.5,145.75,142,141.5
17.17,5.271,17.961,1.149,13.2,0.67985,12.4,0.51755,4.6371,0.45171,0.33862,-0.057244,145,148,148,145.5,142,142
17.579,4.2916,18.095,0.87125,13.139,0.67978,12.256,0.51801,4.8533,0.45107,-0.12933,-0.10812,145,148,147.5,145.25,142,142.5
17.339,3.5669,17.702,0.93276,13.09,0.68594,12.156,0.49177,4.9765,0.49001,-0.41526,0.31952,145,148,147,145,142,143
16.913,3.4642,17.264,1.5103,13.066,0.68468,12.116,0.49565,5.0128,0.48402,-0.39381,-0.052795,145,148,146.75,145,142,143.25
16.632,3.078,16.915,0.82717,13.139,0.70349,12.216,0.44813,4.9576,0.55568,-0.71015,-0.50052,145,148,146.5,145,142,143.5
15.481,3.3731,15.844,0.50924,13.266,0.73862,12.385,0.37909,4.8688,0.64957,-1.4084,-0.28679,145,148,146.25,145,142,143.75
13.696,3.3414,14.098,0.25359,13.388,0.78972,12.532,0.28473,4.8273,0.75479,-2.1591,-0.15234,145,148,146,145,142,144
11.127,3.006,11.526,0.20457,13.45,0.83753,12.595,0.17977,4.8366,0.83821,-2.5995,0.046818,145,148,146,145,142,144
8.2282,3.3886,8.8986,0.34722,13.43,0.864,12.577,0.074197,4.8272,0.88207,-2.4439,-0.086295,145,148,146,145,142,144
5.5228,3.6828,6.6381,0.031978,13.225,0.91234,12.397,-0.02591,4.7199,0.9345,-2.3325,-0.13335,145,148,146,145,142,144
2.549,3.3802,4.2336,0.080529,12.93,0.91372,12.134,-0.12105,4.5779,0.92803,-1.2963,-0.059179,145,148,146,145,142,144
-0.058419,4.0451,4.0455,-0.086379,12.555,0.91113,11.804,-0.22838,4.3825,0.90383,0.58195,-0.2581,145,147.75,146.25,145,142,143.75
-3.3978,4.1938,5.3975,-0.43566,12.125,0.91579,11.429,-0.31598,4.1476,0.88077,1.6559,-0.047169,145,147.5,146.5,145,142,143.5
