uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
9.3746,3.078,9.867,-0.47707,9.4147,0.59121,9.3202,-0.17892,1.364,0.5774,-1.1959,-0.73555,145.75,152.75,150,151,144,146.75
8.7153,2.729,9.1326,-0.52758,9.2074,0.62275,9.0917,-0.21915,1.4906,0.59731,-0.70703,-0.014642,146,153,150,151,144,147
8.1169,2.3597,8.453,-0.50635,8.9469,0.62279,8.7984,-0.27946,1.6634,0.57031,-0.35333,-0.1536,146,152.75,150,151,144.25,147
7.9844,2.6917,8.4259,-0.83477,8.6912,0.64646,8.4873,-0.32013,1.9178,0.5755,-0.090636,-0.04382,146,152.5,150,151,144.5,147
7.5918,3.2841,8.2717,-0.59399,8.4826,0.65825,8.2204,-0.33353,2.1445,0.58152,0.56941,0.78871,146,152.25,150,151,144.75,147
9.4438,1.5165,9.5648,0.74266,8.2805,0.67519,8.0016,-0.29383,2.1836,0.62291,-0.02726,-0.11867,146,152,150,151,145,147
7.7703,2.6728,8.2172,-0.83134,8.0456,0.71095,7.7521,-0.33277,2.2062,0.64378,-0.51082,-0.67572,146.5,152.5,150.5,151.5,145.25,147.5
8.3114,1.9762,8.5431,-0.60879,7.8321,0.85938,7.5559,-0.4173,2.1124,0.76981,0.1038,-0.0062271,147,153,151,152,145.5,148
8.192,1.9668,8.4248,-0.84379,7.5712,0.8743,7.3015,-0.45595,2.0521,0.76441,-1.0573,0.32587,147.5,153.5,151.5,152.5,145.75,148.5
6.4,0.60404,6.4285,0.04296,7.4613,0.8573,7.1805,-0.53035,2.0775,0.69021,-0.64296,0.089257,148,154,152,153,146,149
7.0241,1.275,7.1389,-0.66527,7.1549,0.83313,6.9283,-0.5838,1.8306,0.60905,-0.18718,-0.47057,148.5,154.75,152.5,153.25,146.5,149.5
5.9796,0.94701,6.0541,-0.89817,6.9294,0.83941,6.7221,-0.59297,1.7239,0.60881,-1.0795,0.015779,149,155.5,153,153.5,147,150
4.871,1.0353,4.9798,-0.63372,6.7754,0.8336,6.5849,-0.58081,1.6348,0.61272,-1.036,0.050901,149.5,156.25,153.5,153.75,147.5,150.5
3.9741,0.2522,3.9821,-0.79637,6.7566,0.82673,6.5695,-0.56289,1.6177,0.62046,-0.5356,-0.04057,150,157,154,154,148,151
3.6147,1.4869,3.9086,-0.71486,6.7648,0.80663,6.5761,-0.52717,1.6259,0.62559,0.73152,0.74878,149.75,156.75,153.75,154,147.75,150.75
5.3915,0.76255,5.4452,0.70118,6.8285,0.79633,6.6253,-0.49516,1.6941,0.63906,0.57978,-0.16533,149.5,156.5,153.5,154,147.5,150.5
